cohort,task,count,encoder,mean_nrmse,mean_nmse,native_rmse,median_person_nrmse,p95_person_nrmse,participants
hcp83,unseen,32,heat_norm18,0.2016485263311967,0.041006372346400886,15.721569590843302,0.20040399862384015,0.220158601999395,729
hcp83,unseen,32,heat_raw18,0.1954101258190889,0.03862380669234302,15.23427565306418,0.1950671037524928,0.21463975661365964,729
hcp83,unseen,32,qsf,0.18821873405439743,0.03578131733742392,14.674810237442339,0.18742309997946496,0.20513060821353019,729
hcp83,unseen,32,shortest_path,0.19932040132068896,0.040400387300720104,15.535367884566973,0.1990411485355833,0.21920022365634675,729
hcp83,unseen,32,template_qsf,0.18265512351100038,0.034108819490905884,14.244752641161952,0.17740380099529088,0.21714564333062994,729
oasis,known,8,amp12,0.09945500143463158,0.010347632118555545,15.183996835921961,0.09520161357533746,0.1272515563691457,461
oasis,known,8,amp18,0.09787396345036857,0.010042283733482956,14.94172102720865,0.09363267661433815,0.1262261941783861,461
oasis,known,8,heat_norm18,0.11474838435465066,0.013655573793757236,17.52536302387844,0.1110213377933495,0.1362636654404802,461
oasis,known,8,heat_raw18,0.10909995694269423,0.012366819444689044,16.660135802777816,0.1052110801312262,0.13535111773725547,461
oasis,known,8,moments,0.1922284399011444,0.0372374359571895,29.373174464531573,0.19061375021888613,0.21008679714192693,461
oasis,known,8,prob18,0.12797710159464115,0.016847822629796446,19.54476076102726,0.12424671804398042,0.15046175398483508,461
oasis,known,8,prob6,0.13386971690433516,0.018376636285863203,20.44657305934082,0.13035683864911465,0.15738409928303834,461
oasis,known,8,qsf,0.0912597833597615,0.008739580945209876,13.933283313253026,0.08711519313556827,0.11751956097761838,461
oasis,known,8,shortest_path,0.1371059182534034,0.01982699668402631,20.932247272642524,0.13311571075453155,0.15800987168926592,461
oasis,known,16,amp12,0.07367080645445402,0.005731576295506497,11.247943419845534,0.07027014483216515,0.09627311556407213,461
oasis,known,16,amp18,0.07182161866178562,0.005478845628465609,10.964353562684254,0.06825153711896148,0.09713584246635411,461
oasis,known,16,heat_norm18,0.08857246086576866,0.008321129881819472,13.523272067997567,0.08475651606618832,0.11174480705659053,461
oasis,known,16,heat_raw18,0.08531446499586605,0.007617646161286403,13.026081338078054,0.08137617299915062,0.11082515694635053,461
oasis,known,16,moments,0.16326601688403816,0.026938171755194983,24.94915601651344,0.161382639496682,0.18271599892498372,461
oasis,known,16,prob18,0.08561767133101328,0.0076564466459823,13.075488170106425,0.08252202512658005,0.10711381817666575,461
oasis,known,16,prob6,0.08996121698484555,0.008398703866872642,13.740431192419127,0.0870018667333285,0.11224663210939838,461
oasis,known,16,qsf,0.06593667995130083,0.004620831231226413,10.066623577524759,0.06268989000125698,0.08919717194100912,461
oasis,known,16,shortest_path,0.10752379973157829,0.012272332250244135,16.41335136448581,0.10315269733754544,0.132490218424836,461
oasis,known,32,amp12,0.05667980732064381,0.003438795474142853,8.652899227230096,0.053547396409674125,0.07664126163776129,461
oasis,known,32,amp18,0.05538507837389322,0.003282676688838074,8.454761188716176,0.05245115241867492,0.07735543208301823,461
oasis,known,32,heat_norm18,0.07351192162177575,0.005864891615343302,11.22018788413247,0.0693113730558712,0.09680943427092059,461
oasis,known,32,heat_raw18,0.07107744921932321,0.0053423774936537435,10.85037103215195,0.06746011938969386,0.09502812517709724,461
oasis,known,32,moments,0.1351705177418983,0.018571967294846965,20.654752585075176,0.13338450439553096,0.1555439743014181,461
oasis,known,32,prob18,0.060062849786285476,0.003824675603864048,9.169980623952624,0.05702032828520985,0.08348335186205917,461
oasis,known,32,prob6,0.06273496667189195,0.004147400408524876,9.578812899786426,0.059689573567267784,0.08513543538541235,461
oasis,known,32,qsf,0.04982894214398275,0.0026612467617682938,7.607212945169882,0.046715703088438025,0.07173984131916616,461
oasis,known,32,shortest_path,0.08569244889307376,0.008024849684235695,13.076001751005144,0.08076781830348517,0.1146501043746635,461
oasis,unseen,8,heat_norm18,0.1522802410296644,0.023581451215246615,23.263721560464287,0.14913344752534483,0.1704307241135158,461
oasis,unseen,8,heat_raw18,0.14402650280708956,0.02119955150014544,22.003932228737753,0.14022670496435377,0.1681269460817338,461
oasis,unseen,8,qsf,0.14115135402666873,0.02030580675885257,21.566540739460553,0.1377903044083217,0.1635027815078338,461
oasis,unseen,8,shortest_path,0.16170974698923238,0.026758809508656174,24.70026494976991,0.15868442257232285,0.1766751902434381,461
oasis,unseen,8,template_qsf,0.4177805559444612,0.1773179930544776,63.857288261435926,0.4193208121027747,0.45000988133438047,461
oasis,unseen,16,heat_norm18,0.13597702975395295,0.01885881135514009,20.77205152471043,0.1333398466226359,0.15454638598481552,461
oasis,unseen,16,heat_raw18,0.1277255530119846,0.01667043904884562,19.514757883229542,0.12452994331316534,0.14695304795104033,461
oasis,unseen,16,qsf,0.12506803435397792,0.015926129634710882,19.10849603481382,0.12259063543907985,0.14222632904663213,461
oasis,unseen,16,shortest_path,0.14033713004568144,0.02056030288082285,21.42644202090544,0.1376530637429151,0.15733559784563436,461
oasis,unseen,16,template_qsf,0.18765493876125117,0.03599002577123804,28.68076234362125,0.18897748450200438,0.20286845453587524,461
oasis,unseen,32,heat_norm18,0.13468878683539048,0.018479309547154054,20.57690918496041,0.13219669838108888,0.15127757712384307,461
oasis,unseen,32,heat_raw18,0.12782164649326852,0.016747249034279692,19.53081438512972,0.12463955267154066,0.14709709907316293,461
oasis,unseen,32,qsf,0.12109611163241918,0.014839493929604524,18.50460054281621,0.1196902023620221,0.1348878965641468,461
oasis,unseen,32,shortest_path,0.13413076230680265,0.018633682932039868,20.483527644280112,0.1309730432408616,0.14994087442591017,461
oasis,unseen,32,template_qsf,0.14361777351177935,0.020882072921092933,21.94815735578701,0.1416429910729722,0.16621837736351097,461
