cohort,source_count,encoder,contrast,metric,paired_difference,ci95_low,ci95_high,participant_win_fraction,participants
hcp83,32,heat_norm18,random_projection minus random_bounded_residual,normalized_rmse,0.0018460344956365263,0.00170020486734299,0.002005536934872642,0.07544581618655692,729
hcp83,32,heat_norm18,random_projection minus random_bounded_residual,normalized_mse,0.0004628492988708051,0.0004215356008555536,0.0005071244681389761,0.07133058984910837,729
hcp83,32,heat_norm18,random_robust minus atlas_random_aligned,normalized_rmse,0.09732979835857068,0.09659404131467557,0.09804875264951853,0.0,729
hcp83,32,heat_norm18,random_robust minus atlas_random_aligned,normalized_mse,0.014330952628134755,0.014140172046035132,0.014523501533433394,0.0,729
hcp83,32,heat_norm18,selected_robust minus atlas_selected_aligned,normalized_rmse,0.09121198953904944,0.09051724519595718,0.09193321343407318,0.0,729
hcp83,32,heat_norm18,selected_robust minus atlas_selected_aligned,normalized_mse,0.012893372951245506,0.012716003810233367,0.01307117429193593,0.0,729
hcp83,32,heat_norm18,random_projection minus template_random_projection,normalized_rmse,0.08700446775231624,0.08617906137814799,0.08785325036993419,0.0,729
hcp83,32,heat_norm18,random_projection minus template_random_projection,normalized_mse,0.013931971829524886,0.01375491059010394,0.01411175793260732,0.0,729
hcp83,32,heat_norm18,random_bounded_residual minus template_random_bounded_residual,normalized_rmse,0.08697485959965486,0.08612076452373048,0.08783093215028125,0.0,729
hcp83,32,heat_norm18,random_bounded_residual minus template_random_bounded_residual,normalized_mse,0.013609938459138765,0.013433233560318229,0.013790972609817107,0.0,729
hcp83,32,heat_norm18,selected_projection minus template_selected_projection,normalized_rmse,0.08224097221565965,0.08139313598190223,0.08305786716465328,0.0,729
hcp83,32,heat_norm18,selected_projection minus template_selected_projection,normalized_mse,0.012583864635650898,0.012415721673568686,0.012757776613280382,0.0,729
hcp83,32,heat_norm18,selected_bounded_residual minus template_selected_bounded_residual,normalized_rmse,0.08225760512685024,0.0814324943243746,0.08309811943576526,0.0,729
hcp83,32,heat_norm18,selected_bounded_residual minus template_selected_bounded_residual,normalized_mse,0.012289550374832975,0.012132060027093484,0.012448764235460026,0.0,729
hcp83,32,matched_representation,random_robust: qsf minus heat_raw18,normalized_rmse,-0.014504785461034392,-0.014802358229593355,-0.014219391447311129,0.9958847736625515,729
hcp83,32,matched_representation,random_robust: qsf minus heat_raw18,normalized_mse,-0.0031169170018491067,-0.003190743730330182,-0.00304385301641186,0.9958847736625515,729
hcp83,32,matched_representation,random_robust: qsf minus heat_norm18,normalized_rmse,-0.015662220227304655,-0.01598805999650275,-0.015334614954231286,0.9972565157750343,729
hcp83,32,matched_representation,random_robust: qsf minus heat_norm18,normalized_mse,-0.003437061626319056,-0.003521038423633646,-0.003353393511996862,0.9972565157750343,729
hcp83,32,matched_representation,selected_robust: qsf minus heat_raw18,normalized_rmse,-0.014388610523351855,-0.014681211515948622,-0.014107140340657775,1.0,729
hcp83,32,matched_representation,selected_robust: qsf minus heat_raw18,normalized_mse,-0.0029373622182518695,-0.00301060477122536,-0.0028635958121104904,1.0,729
hcp83,32,matched_representation,selected_robust: qsf minus heat_norm18,normalized_rmse,-0.01381555623273735,-0.014109177851488032,-0.013532846566833269,0.9986282578875172,729
hcp83,32,matched_representation,selected_robust: qsf minus heat_norm18,normalized_mse,-0.0028643319175312805,-0.0029328440929423977,-0.002796230605078628,1.0,729
oasis,8,qsf,selected_robust minus random_robust,normalized_rmse,-0.00897920021276668,-0.009574673807590136,-0.008365621633798372,0.9457700650759219,461
oasis,8,qsf,selected_robust minus random_robust,normalized_mse,-0.0015813053415533727,-0.0017533171766505365,-0.0013863828987560846,0.9501084598698482,461
