cohort,count,task,a,b,comparison,a_mean,b_mean,a_minus_b,ci_low,ci_high,a_reduction_percent,a_win_fraction,participants,records
hcp83,32,unseen,qsf,heat_norm18,hcp83_32_unseen_qsf_heat_norm18,0.18821873405439743,0.2016485263311967,-0.013429792276799288,-0.013934310367530399,-0.01295276069194205,6.660000209841144,0.99039780521262,729,3189
hcp83,32,unseen,qsf,shortest_path,hcp83_32_unseen_qsf_shortest_path,0.18821873405439743,0.19932040132068896,-0.011101667266291531,-0.012274991548337114,-0.010103284233471446,5.569759639621597,0.8477366255144033,729,3189
hcp83,32,unseen,qsf,template_qsf,hcp83_32_unseen_qsf_template_qsf,0.18821873405439743,0.18265512351100038,0.005563610543397051,0.004397353834133792,0.0067013488013115555,-3.045964677285375,0.2757201646090535,729,3189
hcp83,32,unseen_vs_known,qsf_unseen,qsf_known,hcp83_32_unseen_vs_known_qsf,0.18821873405439743,0.10455338090039522,0.08366535315400221,0.08312319352852159,0.08419893433286489,-80.02166207681759,0.0,729,3189
hcp83,32,unseen_vs_known,heat_raw18_unseen,heat_raw18_known,hcp83_32_unseen_vs_known_heat_raw18,0.1954101258190889,0.1190581663614296,0.07635195945765927,0.07568270557133036,0.07704436394374922,-64.1299641940349,0.0,729,3189
hcp83,32,unseen_vs_known,heat_norm18_unseen,heat_norm18_known,hcp83_32_unseen_vs_known_heat_norm18,0.2016485263311967,0.12021560112769988,0.08143292520349685,0.08074459565885886,0.08211442103497843,-67.7390658447019,0.0,729,3189
hcp83,32,unseen_vs_known,shortest_path_unseen,shortest_path_known,hcp83_32_unseen_vs_known_shortest_path,0.19932040132068896,0.14696288639337224,0.052357514927316724,0.05164536383361152,0.0530789455374272,-35.62635180366051,0.0,729,3189
oasis,8,known,qsf,heat_raw18,oasis_8_known_qsf_heat_raw18,0.0912597833597615,0.10909995694269423,-0.017840173582932727,-0.018314355330332665,-0.017386990080296354,16.352136227059603,1.0,461,2085
oasis,8,known,qsf,heat_norm18,oasis_8_known_qsf_heat_norm18,0.0912597833597615,0.11474838435465066,-0.023488600994889173,-0.024083776552475965,-0.022922285079425064,20.469657265320087,0.9978308026030369,461,2085
oasis,8,known,qsf,prob6,oasis_8_known_qsf_prob6,0.0912597833597615,0.13386971690433516,-0.04260993354457366,-0.04310917491740971,-0.04210358400101971,31.82940438652247,1.0,461,2085
oasis,8,known,qsf,amp12,oasis_8_known_qsf_amp12,0.0912597833597615,0.09945500143463158,-0.008195218074870085,-0.00843782879552405,-0.007959653613380604,8.240126646880125,1.0,461,2085
oasis,8,known,qsf,prob18,oasis_8_known_qsf_prob18,0.0912597833597615,0.12797710159464115,-0.03671731823487966,-0.03719553167173472,-0.03623908799956485,28.690537430031263,1.0,461,2085
oasis,8,known,qsf,amp18,oasis_8_known_qsf_amp18,0.0912597833597615,0.09787396345036857,-0.006614180090607075,-0.0068574450668716916,-0.006371430256676186,6.757854548274317,0.9956616052060737,461,2085
oasis,8,known,qsf,shortest_path,oasis_8_known_qsf_shortest_path,0.0912597833597615,0.1371059182534034,-0.045846134893641935,-0.047170882753245734,-0.044725842757574144,33.43847988305484,0.9978308026030369,461,2085
oasis,8,known,qsf,moments,oasis_8_known_qsf_moments,0.0912597833597615,0.1922284399011444,-0.10096865654138289,-0.10224676084153557,-0.0996348729369897,52.52534775463358,1.0,461,2085
oasis,8,unseen,qsf,heat_raw18,oasis_8_unseen_qsf_heat_raw18,0.14115135402666873,0.14402650280708956,-0.002875148780420837,-0.0034387608624145247,-0.002350883602456387,1.9962636906291018,0.7396963123644251,461,2085
