cohort,source_count,encoder,policy,graph,scaling,family,equal_participant_nrmse,equal_participant_nmse,row_mean_nrmse,p95,p99,maximum,rows_above_one,participants,records
hcp83,8,qsf,heat_discrimination,individual,tanh3,residual,0.12285078844038759,0.015510420694826011,0.12289375434421602,0.1576202497824138,0.17908310168755157,0.2070859936022621,0,729,3189
hcp83,8,qsf,spatial,individual,tanh3,bounded_residual,0.12766380633625085,0.016724576381683228,0.12767710776426328,0.16230747575111026,0.18037107372323374,0.2171464260471681,0,729,3189
hcp83,8,qsf,spatial,individual,tanh3,ordinary,0.13028480650393404,0.01744799619001206,0.13033119751658084,0.16719172292248582,0.18735654907461594,0.268827957999302,0,729,3189
hcp83,8,qsf,spatial,individual,tanh3,projection,0.13003999429179877,0.017371632793770325,0.1300841601312264,0.16664145694459753,0.18552778872104392,0.2121528453624491,0,729,3189
hcp83,8,qsf,spatial,individual,tanh3,residual,0.12780778587353456,0.01676638165419343,0.12781883914170403,0.1628171839894371,0.1806156176562377,0.2171464260471681,0,729,3189
hcp83,8,heat_raw18,random,individual,tanh3,bounded_residual,0.14748949813572362,0.022149792497074095,0.14758529011069402,0.18029729810364498,0.19854272356672817,0.2772152102739302,0,729,3189
hcp83,8,heat_raw18,random,individual,tanh3,ordinary,0.15066759373782543,0.023141525829377698,0.15076454265160166,0.18551415090758686,0.20581598335332843,0.3324310942837584,0,729,3189
hcp83,8,heat_raw18,random,individual,tanh3,projection,0.15046025719300554,0.02306499088992645,0.15053207586004844,0.1844655027992206,0.20507772212088246,0.27137788560588,0,729,3189
hcp83,8,heat_raw18,random,individual,tanh3,residual,0.14761460938612822,0.022196217675846043,0.14772837620903778,0.18082312363219347,0.19921609046207045,0.3110823475219071,0,729,3189
hcp83,8,heat_raw18,graph_coverage,individual,tanh3,bounded_residual,0.22569084908409223,0.05142316890076838,0.22584454404370163,0.26114843765135815,0.2793858247475179,0.3547594299316045,0,729,3189
hcp83,8,heat_raw18,graph_coverage,individual,tanh3,ordinary,0.22863815902547827,0.05281394970178916,0.22878213783913634,0.2650886264003312,0.2843772718697593,0.4016630031556765,0,729,3189
hcp83,8,heat_raw18,graph_coverage,individual,tanh3,projection,0.2278630613737947,0.05241127234767559,0.22801117070618132,0.2645491747184562,0.2820742721301689,0.3428753309219023,0,729,3189
hcp83,8,heat_raw18,graph_coverage,individual,tanh3,residual,0.22638854995701932,0.05177543211078044,0.22654850401618407,0.26251955700650703,0.28252485708463065,0.4060423820341919,0,729,3189
hcp83,8,heat_raw18,sfh_fixed,individual,tanh3,bounded_residual,0.2065973334555592,0.043700391779041795,0.2067534278078397,0.2594502782643548,0.2773658100309727,0.3999694940770567,0,729,3189
hcp83,8,heat_raw18,sfh_fixed,individual,tanh3,ordinary,0.20827647181642908,0.04445751122927786,0.20851184453035992,0.2625766319388057,0.28005545433765744,0.3336299573314346,0,729,3189
hcp83,8,heat_raw18,sfh_fixed,individual,tanh3,projection,0.20714816350623858,0.043952100093417636,0.20737610343938928,0.26081186644530796,0.27805749315626677,0.3261351899496256,0,729,3189
hcp83,8,heat_raw18,sfh_fixed,individual,tanh3,residual,0.2076398274393548,0.044160207951452486,0.2078121193947793,0.260872856182458,0.2772325306452744,0.3899267346719127,0,729,3189
hcp83,8,heat_raw18,spectral,individual,tanh3,bounded_residual,0.1535564261018986,0.02384246573076094,0.153773066157499,0.17954392249733284,0.2035100847231629,0.3053485066802512,0,729,3189
hcp83,8,heat_raw18,spectral,individual,tanh3,ordinary,0.155762103718216,0.02452193870346267,0.155935252627768,0.18263750713883303,0.2046856149498851,0.3020196276380449,0,729,3189
hcp83,8,heat_raw18,spectral,individual,tanh3,projection,0.15555103456705063,0.024450529328221796,0.15573173040670002,0.18258902072128153,0.2038798305867623,0.2956567799401353,0,729,3189
hcp83,8,heat_raw18,spectral,individual,tanh3,residual,0.15385604457481405,0.02393428191407237,0.15407745430483588,0.17973945283891482,0.20426323384750522,0.3053485066802512,0,729,3189
hcp83,8,heat_raw18,qsf_discrimination,individual,tanh3,bounded_residual,0.14001406767142108,0.019855686517663285,0.14014384296843016,0.16770939359409578,0.18326243751556986,0.2161178767516373,0,729,3189
hcp83,8,heat_raw18,qsf_discrimination,individual,tanh3,ordinary,0.14360682267812389,0.02088838418472353,0.14376138486758036,0.1726729966658329,0.19132420029431188,0.2239264328331401,0,729,3189
hcp83,8,heat_raw18,qsf_discrimination,individual,tanh3,projection,0.1431076265850247,0.020736907470009534,0.14324867653245268,0.17168341617915744,0.1894497265976252,0.2121767379483881,0,729,3189
hcp83,8,heat_raw18,qsf_discrimination,individual,tanh3,residual,0.14041335818672784,0.019971047556291727,0.14056294408777606,0.16823607063198112,0.18499440145444448,0.2219898312944069,0,729,3189
hcp83,8,heat_raw18,heat_discrimination,individual,tanh3,bounded_residual,0.13767354389543776,0.019297630904029268,0.13776132139981487,0.17095760943516922,0.1881588486881417,0.230764281935744,0,729,3189
hcp83,8,heat_raw18,heat_discrimination,individual,tanh3,ordinary,0.1401032203680318,0.019982004654076457,0.14018279413742768,0.1738939270492674,0.19554834544633784,0.2426396630661488,0,729,3189
hcp83,8,heat_raw18,heat_discrimination,individual,tanh3,projection,0.13988006981898068,0.019912787268288136,0.13996639583512288,0.1738227268526474,0.19483888509835434,0.2364217432142812,0,729,3189
hcp83,8,heat_raw18,heat_discrimination,individual,tanh3,residual,0.1378742536173434,0.019358782104090838,0.13795246244840767,0.17149945715466056,0.18825651663370224,0.2345055715569445,0,729,3189
hcp83,8,heat_raw18,spatial,individual,tanh3,bounded_residual,0.14214972686037705,0.020566225088455813,0.14220111542154096,0.17497847021265983,0.19102622445878878,0.2156662746461802,0,729,3189
hcp83,8,heat_raw18,spatial,individual,tanh3,ordinary,0.1456948077305136,0.021620833006427614,0.14576005824955598,0.17980146577214492,0.197923124130165,0.2557260582706427,0,729,3189
hcp83,8,heat_raw18,spatial,individual,tanh3,projection,0.1453083125967503,0.02148326844792184,0.14536387749379023,0.17839729836114823,0.19296458848839484,0.22082954031633,0,729,3189
hcp83,8,heat_raw18,spatial,individual,tanh3,residual,0.14252165619155432,0.02068784860779805,0.14261606460474593,0.1755031165528711,0.1923369455550787,0.2580689870668005,0,729,3189
hcp83,8,heat_norm18,random,individual,tanh3,bounded_residual,0.1533580695362515,0.02405917043794742,0.15349005485828396,0.1921540884104766,0.20981940391837817,0.3085528050652203,0,729,3189
hcp83,8,heat_norm18,random,individual,tanh3,ordinary,0.15607202130409262,0.02495019454279752,0.15617132625477054,0.19601944710457198,0.21651724073628584,0.3985537342915873,0,729,3189
hcp83,8,heat_norm18,random,individual,tanh3,projection,0.1551184407142685,0.024614308166796856,0.15522163870966893,0.1949082732233452,0.21369756431603038,0.2780402255124449,0,729,3189
hcp83,8,heat_norm18,random,individual,tanh3,residual,0.1540995785113764,0.0243487644406971,0.15425916389902763,0.1925161988866447,0.21186558139517986,0.6402681202668826,0,729,3189
hcp83,8,heat_norm18,graph_coverage,individual,tanh3,bounded_residual,0.23167178170492958,0.054116049867483425,0.23180699682582667,0.2670557962910873,0.2819142247348843,0.376237015119026,0,729,3189
hcp83,8,heat_norm18,graph_coverage,individual,tanh3,ordinary,0.2343082515455133,0.05538082695529605,0.23452187838801986,0.2706339154366483,0.28787245360383834,0.3819470861000467,0,729,3189
hcp83,8,heat_norm18,graph_coverage,individual,tanh3,projection,0.2337141877396597,0.05507288447089326,0.23383269498819828,0.26995730914219856,0.28526491778067636,0.3578927532234197,0,729,3189
hcp83,8,heat_norm18,graph_coverage,individual,tanh3,residual,0.23228539110885935,0.054432892180843274,0.23251522267892066,0.26823223871764407,0.28483965472241524,0.3768405865324651,0,729,3189
hcp83,8,heat_norm18,sfh_fixed,individual,tanh3,bounded_residual,0.21270408242890962,0.04643503747362778,0.21294260044499286,0.2658845070421213,0.2802559422971573,0.3698755904305852,0,729,3189
hcp83,8,heat_norm18,sfh_fixed,individual,tanh3,ordinary,0.21422142913430903,0.04713564751768369,0.21456039632948565,0.26828388835857575,0.2842063013487024,0.3819470861000522,0,729,3189
hcp83,8,heat_norm18,sfh_fixed,individual,tanh3,projection,0.2136418412398458,0.04684512787037627,0.213906433317858,0.26704126471388684,0.28113741713131685,0.3171796139584522,0,729,3189
