cohort,split_id,mask_id,source_count,encoder,family,alpha,radius,validation_nrmse,validation_nmse,validation_se,alpha_over_inner_N,policy
hcp83,3,3,8,heat_raw18,bounded_residual,0.001,1.0,0.12947032706821496,0.016927208796994945,0.0009899591316852886,6.812917291184086e-08,heat_discrimination
hcp83,3,3,8,heat_norm18,bounded_residual,0.001,1.0,0.13261759510142504,0.01769551164599412,0.0008020996090195618,6.812917291184086e-08,heat_discrimination
hcp83,3,3,16,qsf,bounded_residual,0.01,1.0,0.10731904676229695,0.01162758225011777,0.000809925232255055,6.812917291184085e-07,qsf_discrimination
hcp83,3,3,16,heat_raw18,bounded_residual,0.001,1.0,0.12056257925072364,0.014662260641574604,0.0008691988853577104,6.812917291184086e-08,spectral
hcp83,3,3,16,heat_norm18,bounded_residual,0.001,1.0,0.1184938640508798,0.014156066705843398,0.0008283334104688192,6.812917291184086e-08,spectral
hcp83,3,3,32,qsf,bounded_residual,0.1,4.0,0.09768683637024077,0.009656220625294707,0.0008219555125999878,6.812917291184085e-06,heat_discrimination
hcp83,3,3,32,heat_raw18,bounded_residual,0.001,1.0,0.11081357311925512,0.012396575243890248,0.000834263491955852,6.812917291184086e-08,qsf_discrimination
hcp83,3,3,32,heat_norm18,bounded_residual,0.001,1.0,0.10759482650200064,0.011707766880595175,0.0008834462773691036,6.812917291184086e-08,qsf_discrimination
hcp83,4,1,8,qsf,bounded_residual,0.1,4.0,0.10690774602365925,0.01174415010238664,0.001369054119350567,6.5651260504201685e-06,heat_discrimination
hcp83,4,1,8,heat_raw18,bounded_residual,0.001,2.0,0.1285080727037143,0.01672345956565261,0.0011157285032805607,6.565126050420168e-08,qsf_discrimination
hcp83,4,1,8,heat_norm18,bounded_residual,0.001,4.0,0.13013495335357755,0.01717981505831853,0.001206897276324529,6.565126050420168e-08,heat_discrimination
hcp83,4,1,16,qsf,bounded_residual,0.1,4.0,0.0872535695039311,0.00785507418743767,0.0011999226072769782,6.5651260504201685e-06,heat_discrimination
hcp83,4,1,16,heat_raw18,bounded_residual,0.01,2.0,0.1108217396899663,0.012537986837137938,0.0012357011919864472,6.565126050420168e-07,spectral
hcp83,4,1,16,heat_norm18,bounded_residual,0.001,1.0,0.10686735570529408,0.011633734307505436,0.001126262762370447,6.565126050420168e-08,spectral
hcp83,4,1,32,qsf,bounded_residual,0.1,4.0,0.07537295514159385,0.005869763413573853,0.0010597648177923993,6.5651260504201685e-06,qsf_discrimination
hcp83,4,1,32,heat_raw18,bounded_residual,0.001,4.0,0.09686272035316584,0.009610840491449151,0.001166123761180669,6.565126050420168e-08,qsf_discrimination
hcp83,4,1,32,heat_norm18,bounded_residual,0.01,4.0,0.09522909719030329,0.009280897059727027,0.001124182528516344,6.565126050420168e-07,qsf_discrimination
hcp83,4,2,8,qsf,bounded_residual,0.01,2.0,0.14288498173381756,0.02058406030123051,0.0009998282476229975,6.572461386789352e-07,heat_discrimination
hcp83,4,2,8,heat_raw18,bounded_residual,0.001,1.0,0.15303060318140507,0.02357497241229162,0.0009654967332037517,6.572461386789353e-08,qsf_discrimination
hcp83,4,2,8,heat_norm18,bounded_residual,0.001,2.0,0.15725820323245937,0.024901877614652117,0.0010110553501834763,6.572461386789353e-08,heat_discrimination
hcp83,4,2,16,qsf,bounded_residual,0.1,4.0,0.13185374294613322,0.017488802603525713,0.0007844966335049607,6.572461386789353e-06,heat_discrimination
hcp83,4,2,16,heat_raw18,bounded_residual,0.001,1.0,0.1432089475568447,0.020626714411613407,0.0008377682629147029,6.572461386789353e-08,spectral
hcp83,4,2,16,heat_norm18,bounded_residual,0.001,1.0,0.14491578285707912,0.021132277260068427,0.0008853743457280297,6.572461386789353e-08,qsf_discrimination
hcp83,4,2,32,qsf,bounded_residual,1.0,4.0,0.12635425130998534,0.016048665657907323,0.0007040225992398325,6.572461386789353e-05,spectral
hcp83,4,2,32,heat_raw18,bounded_residual,0.001,1.0,0.13393911264361283,0.01805309008003328,0.0008215989936690647,6.572461386789353e-08,spectral
hcp83,4,2,32,heat_norm18,bounded_residual,0.01,1.0,0.1368999426831394,0.018836710726136657,0.0007524421330772229,6.572461386789352e-07,spectral
hcp83,4,3,8,qsf,bounded_residual,0.01,1.0,0.1173032659897077,0.013938118734012973,0.0010295124891147448,6.811061163329247e-07,heat_discrimination
hcp83,4,3,8,heat_raw18,bounded_residual,0.001,1.0,0.12889317165978526,0.01675600684534079,0.000921170143602063,6.811061163329247e-08,heat_discrimination
hcp83,4,3,8,heat_norm18,bounded_residual,0.001,1.0,0.13203223037220482,0.01756384873972073,0.0008841827093213784,6.811061163329247e-08,heat_discrimination
hcp83,4,3,16,qsf,bounded_residual,0.01,1.0,0.10690554204343196,0.011588453325034859,0.0009748577595721131,6.811061163329247e-07,qsf_discrimination
hcp83,4,3,16,heat_raw18,bounded_residual,0.001,1.0,0.11883105080572799,0.014273705787310534,0.0009539615137646716,6.811061163329247e-08,qsf_discrimination
hcp83,4,3,16,heat_norm18,bounded_residual,0.001,1.0,0.11814450073980563,0.014110532491250332,0.0009524699601324682,6.811061163329247e-08,spectral
hcp83,4,3,32,qsf,bounded_residual,0.01,4.0,0.09726586920743652,0.00960381882198026,0.0009231464998209211,6.811061163329247e-07,heat_discrimination
hcp83,4,3,32,heat_raw18,bounded_residual,0.001,1.0,0.11089080175977223,0.012442640483233808,0.0009318139257994335,6.811061163329247e-08,qsf_discrimination
hcp83,4,3,32,heat_norm18,bounded_residual,0.01,1.0,0.10991164048037459,0.012248642333128092,0.0010002190832660558,6.811061163329247e-07,spectral
hcp83,5,1,8,qsf,bounded_residual,0.01,4.0,0.10708543984033608,0.01172476405351601,0.001237972198793952,6.565126050420168e-07,heat_discrimination
hcp83,5,1,8,heat_raw18,bounded_residual,0.001,4.0,0.12858619405411054,0.01677867094567985,0.0012057936636409446,6.565126050420168e-08,heat_discrimination
hcp83,5,1,8,heat_norm18,bounded_residual,0.001,2.0,0.13352963689765898,0.018133107767602918,0.0013428466511355166,6.565126050420168e-08,random
hcp83,5,1,16,qsf,bounded_residual,0.01,4.0,0.08693900184035973,0.007756845153069684,0.0010868672545429313,6.565126050420168e-07,heat_discrimination
hcp83,5,1,16,heat_raw18,bounded_residual,0.01,4.0,0.1102362672569264,0.01234692851461909,0.0010770713595500642,6.565126050420168e-07,spectral
hcp83,5,1,16,heat_norm18,bounded_residual,0.001,1.0,0.10534376823127888,0.0112808406009332,0.0010452018937113746,6.565126050420168e-08,spectral
hcp83,5,1,32,qsf,bounded_residual,0.1,4.0,0.0751685291377392,0.005813163279346194,0.000984569964789576,6.5651260504201685e-06,qsf_discrimination
hcp83,5,1,32,heat_raw18,bounded_residual,0.001,4.0,0.09607494562207015,0.009450736372694231,0.001145231304382952,6.565126050420168e-08,qsf_discrimination
hcp83,5,1,32,heat_norm18,bounded_residual,0.01,4.0,0.09416172556092352,0.009091214691785742,0.0011567198367815575,6.565126050420168e-07,qsf_discrimination
hcp83,5,2,8,qsf,bounded_residual,0.01,2.0,0.14133513696319852,0.02009761655107871,0.0008521527734167144,6.574621959237344e-07,heat_discrimination
hcp83,5,2,8,heat_raw18,bounded_residual,0.001,1.0,0.15326539149063378,0.023625998809691448,0.0008988040364383929,6.574621959237344e-08,qsf_discrimination
hcp83,5,2,8,heat_norm18,bounded_residual,0.001,1.0,0.15898786866225276,0.0254181176039966,0.0009160448829422496,6.574621959237344e-08,qsf_discrimination
hcp83,5,2,16,qsf,bounded_residual,0.1,1.0,0.13146722465949848,0.017367868215733148,0.0007081038398347418,6.574621959237344e-06,qsf_discrimination
hcp83,5,2,16,heat_raw18,bounded_residual,0.001,1.0,0.14052785452606917,0.019840183752463374,0.0007404384751590983,6.574621959237344e-08,qsf_discrimination
hcp83,5,2,16,heat_norm18,bounded_residual,0.001,1.0,0.14302220781931366,0.020557015286997393,0.0007779068277483131,6.574621959237344e-08,qsf_discrimination
hcp83,5,2,32,qsf,bounded_residual,0.1,4.0,0.12561935759815396,0.015841213551368288,0.0006025271580295312,6.574621959237344e-06,spectral
hcp83,5,2,32,heat_raw18,bounded_residual,0.001,1.0,0.1339060899507504,0.018011019684967797,0.0006908361008733245,6.574621959237344e-08,spectral
hcp83,5,2,32,heat_norm18,bounded_residual,0.001,1.0,0.13622032378163348,0.018650961786422386,0.0007519228337486786,6.574621959237344e-08,spectral
hcp83,5,3,8,qsf,bounded_residual,0.01,1.0,0.11754855171030947,0.013973422317931973,0.0009628835313188027,6.812917291184085e-07,heat_discrimination
hcp83,5,3,8,heat_raw18,bounded_residual,0.001,1.0,0.12932413712176563,0.016851598878275073,0.0008689979039437121,6.812917291184086e-08,heat_discrimination
hcp83,5,3,8,heat_norm18,bounded_residual,0.001,1.0,0.13222143426033323,0.017597190110866665,0.0008262163940541379,6.812917291184086e-08,heat_discrimination
hcp83,5,3,16,qsf,bounded_residual,0.01,1.0,0.10577319052412813,0.01133510277374281,0.0009358435845894726,6.812917291184085e-07,qsf_discrimination
hcp83,5,3,16,heat_raw18,bounded_residual,0.001,1.0,0.11816086766965193,0.014098413822063801,0.0009011341188258005,6.812917291184086e-08,qsf_discrimination
hcp83,5,3,16,heat_norm18,bounded_residual,0.001,1.0,0.11826051590022144,0.014159693382528406,0.0010181208224851513,6.812917291184086e-08,qsf_discrimination
hcp83,5,3,32,qsf,bounded_residual,0.01,4.0,0.09710369178146687,0.00956578172544686,0.000901898684577433,6.812917291184085e-07,heat_discrimination
hcp83,5,3,32,heat_raw18,bounded_residual,0.001,1.0,0.1108332187882361,0.012425021752700192,0.0009161882920790699,6.812917291184086e-08,qsf_discrimination
hcp83,5,3,32,heat_norm18,bounded_residual,0.01,1.0,0.10886144720507933,0.01201476204091821,0.0009878649215242857,6.812917291184085e-07,qsf_discrimination
oasis,1,1,8,qsf,bounded_residual,0.01,1.0,0.0805547450330979,0.006779978569821102,0.0016262383322862668,7.603984487871645e-07,spectral
oasis,1,1,8,heat_raw18,bounded_residual,0.001,4.0,0.09521041925118377,0.009352597893932618,0.0016168824096964391,7.603984487871645e-08,sfh_fixed
oasis,1,1,8,heat_norm18,bounded_residual,0.01,2.0,0.10427380467662921,0.011280782439633447,0.0019253242888445593,7.603984487871645e-07,sfh_fixed
oasis,1,1,16,qsf,bounded_residual,0.1,1.0,0.058879373602842656,0.0036627279727332197,0.001334668283166934,7.603984487871645e-06,qsf_discrimination
oasis,1,1,16,heat_raw18,bounded_residual,0.01,1.0,0.07837011234515963,0.006400979168639095,0.00153476281746533,7.603984487871645e-07,qsf_discrimination
oasis,1,1,16,heat_norm18,bounded_residual,0.01,1.0,0.08360923073578833,0.007338529966074456,0.001778729122011671,7.603984487871645e-07,qsf_discrimination
oasis,1,1,32,qsf,bounded_residual,10.0,4.0,0.045813493689699544,0.0022160190396400777,0.0010319568154457301,0.0007603984487871645,qsf_discrimination
oasis,1,1,32,heat_raw18,bounded_residual,0.01,1.0,0.06603986619230574,0.0046033995296925895,0.0014836552006781965,7.603984487871645e-07,qsf_discrimination
oasis,1,1,32,heat_norm18,bounded_residual,0.01,1.0,0.06823367954892139,0.004876261640717092,0.0014155840938129916,7.603984487871645e-07,qsf_discrimination
oasis,1,2,8,qsf,bounded_residual,0.01,4.0,0.08121209288721183,0.0067711809081209585,0.0012641090178815216,7.403020432336394e-07,sfh_fixed
oasis,1,2,8,heat_raw18,bounded_residual,0.01,1.0,0.09533835154054496,0.009270449423464168,0.0012829233272478558,7.403020432336394e-07,qsf_discrimination
oasis,1,2,8,heat_norm18,bounded_residual,0.01,1.0,0.09833315465184796,0.010097566729568424,0.001972901476101022,7.403020432336394e-07,heat_discrimination
oasis,1,2,16,qsf,bounded_residual,0.01,4.0,0.053047140033018615,0.0029555463861001626,0.0011343693498931714,7.403020432336394e-07,qsf_discrimination
oasis,1,2,16,heat_raw18,bounded_residual,0.01,1.0,0.07069197505732996,0.005149057200260702,0.0011743542239133406,7.403020432336394e-07,qsf_discrimination
oasis,1,2,16,heat_norm18,bounded_residual,0.001,1.0,0.07035831313122615,0.005181054748587218,0.001448392594679759,7.403020432336394e-08,qsf_discrimination
oasis,1,2,32,qsf,bounded_residual,1.0,1.0,0.04212957153895879,0.0019088128996354993,0.001103350688416679,7.403020432336393e-05,qsf_discrimination
oasis,1,2,32,heat_raw18,bounded_residual,0.001,1.0,0.06059294596660595,0.0038371417267102,0.0012271053366586305,7.403020432336394e-08,qsf_discrimination
oasis,1,2,32,heat_norm18,bounded_residual,0.001,1.0,0.06144696533268369,0.003975032601023151,0.0013460482647942586,7.403020432336394e-08,qsf_discrimination
oasis,1,3,8,qsf,bounded_residual,0.01,1.0,0.08431193903430904,0.007340532485840943,0.0014523630341177738,8.048937540244688e-07,heat_discrimination
