cohort,source_count,encoder,track,equal_participant_nrmse,equal_participant_nmse,row_mean_nrmse,p95,p99,maximum,rows_above_one,participants,records
hcp83,16,qsf,atlas_selected_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,16,qsf,floor_random_robust,0.123985174523564,0.015922421129542612,0.12400819965144408,0.16065380472159776,0.17774773475649017,0.3129285371695482,0,729,3189
hcp83,16,qsf,ordinary_selected,0.11205443421934638,0.013048736797069789,0.11214347997457572,0.14843646901732468,0.16354185652351852,0.193362038183982,0,729,3189
hcp83,16,qsf,random_bounded_residual,0.11838168675399748,0.014574230533546173,0.11839456255423329,0.15690988879489473,0.17315360799130664,0.2157087414870395,0,729,3189
hcp83,16,qsf,random_ordinary,0.12160558809973104,0.015378660758303533,0.12164953475320607,0.1622070548408624,0.18177906626762208,0.2274533179963921,0,729,3189
hcp83,16,qsf,random_projection,0.12141970371768682,0.015326610161169527,0.12146766659699951,0.16135433933966786,0.18001793051435608,0.2270684819016823,0,729,3189
hcp83,16,qsf,random_robust,0.11838168675399748,0.014574230533546173,0.11839456255423329,0.15690988879489473,0.17315360799130664,0.2157087414870395,0,729,3189
hcp83,16,qsf,selected_bounded_residual,0.10965992419467686,0.01250048648759246,0.10973874390552166,0.14437738024898317,0.15630764345505957,0.1890374151039496,0,729,3189
hcp83,16,qsf,selected_projection,0.11219887343654089,0.013079293800668324,0.11228304009198334,0.14876433686807883,0.16275900467012755,0.1901203469961351,0,729,3189
hcp83,16,qsf,selected_robust,0.10965992419467686,0.01250048648759246,0.10973874390552166,0.14437738024898317,0.15630764345505957,0.1890374151039496,0,729,3189
hcp83,16,qsf,selected_sources_ordinary,0.11226373397578926,0.013096604407731693,0.11235357751169606,0.14915443749485147,0.1631810341658073,0.193362038183982,0,729,3189
hcp83,16,qsf,spatial_robust,0.11068180102766079,0.012667489518831896,0.11072202062840077,0.14194800552838371,0.15477516291953827,0.1825668707775598,0,729,3189
hcp83,16,qsf,template_random_bounded_residual,0.03344275186204409,0.0012942948921247962,0.0333056201829288,0.05824991515666416,0.08144091004669575,0.139027933252939,0,729,3189
hcp83,16,qsf,template_random_projection,0.03513436668474851,0.0014246242597361705,0.03495034496431538,0.06128972932348466,0.08699452255791762,0.1327048801591388,0,729,3189
hcp83,16,qsf,template_random_robust,0.03344275186204409,0.0012942948921247962,0.0333056201829288,0.05824991515666416,0.08144091004669575,0.139027933252939,0,729,3189
hcp83,16,qsf,template_selected_bounded_residual,0.03091165774275612,0.0010655571760571961,0.030809510145465218,0.04990275494483492,0.06981424968859674,0.1088559978275351,0,729,3189
hcp83,16,qsf,template_selected_projection,0.03224910126451629,0.0011660186281800483,0.03208206327567804,0.052520445241225296,0.07180359787632216,0.1106588432926333,0,729,3189
hcp83,16,qsf,template_selected_robust,0.03091165774275612,0.0010655571760571961,0.030809510145465218,0.04990275494483492,0.06981424968859674,0.1088559978275351,0,729,3189
hcp83,32,heat_norm18,atlas_random_aligned,0.022885802769129163,0.0005424109610778671,0.0228920278176676,0.030209378897410075,0.035340130639248145,0.0773607521070938,0,729,3189
hcp83,32,heat_norm18,atlas_random_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,32,heat_norm18,atlas_selected_aligned,0.022673803722158693,0.0005312946313043767,0.022682249658406272,0.02948210380554062,0.03440897258805866,0.0748080450073867,0,729,3189
hcp83,32,heat_norm18,atlas_selected_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,32,heat_norm18,floor_random_robust,0.11745631180539727,0.014248843741290148,0.1176059714040507,0.15172864896016816,0.1648541253751807,0.2399342196056446,0,729,3189
hcp83,32,heat_norm18,ordinary_selected,0.11586630260267566,0.013917099637624537,0.11602968623997276,0.15233100314688858,0.16640295618808598,0.2108453903655192,0,729,3189
hcp83,32,heat_norm18,random_bounded_residual,0.12021560112769984,0.014873363589212625,0.12033330533874799,0.15414577808377222,0.16804809426450948,0.2322578525245181,0,729,3189
hcp83,32,heat_norm18,random_ordinary,0.12250336945088351,0.015474328717347215,0.12260864417756707,0.158257729656099,0.17563689856260553,0.2426224832799116,0,729,3189
hcp83,32,heat_norm18,random_projection,0.12206163562333637,0.015336212888083432,0.1221592739700441,0.15680275928082202,0.17146201768548916,0.2176016811823169,0,729,3189
hcp83,32,heat_norm18,random_robust,0.12021560112769984,0.014873363589212625,0.12033330533874799,0.15414577808377222,0.16804809426450948,0.2322578525245181,0,729,3189
hcp83,32,heat_norm18,selected_bounded_residual,0.11388579326120812,0.013424667582549883,0.11402486963184016,0.14805126067185848,0.16030881721324922,0.1887276905522776,0,729,3189
hcp83,32,heat_norm18,selected_projection,0.11565421220431828,0.013853795305595185,0.11578162519309355,0.15117309486392663,0.16523558050082476,0.1863372641348598,0,729,3189
hcp83,32,heat_norm18,selected_robust,0.11388579326120812,0.013424667582549883,0.11402486963184016,0.14805126067185848,0.16030881721324922,0.1887276905522776,0,729,3189
hcp83,32,heat_norm18,selected_sources_ordinary,0.11599197055281713,0.013945114226788282,0.11613798645023408,0.15233100314688858,0.16640295618808598,0.2108453903655192,0,729,3189
hcp83,32,heat_norm18,spatial_robust,0.11834822253243077,0.014362122162248747,0.1184517543548521,0.14841911127031976,0.16259159949521138,0.2264534588209552,0,729,3189
hcp83,32,heat_norm18,template_random_bounded_residual,0.03324074152804499,0.0012634251300738608,0.033121566522123606,0.055980027078957266,0.07959280710996616,0.121746991771745,0,729,3189
hcp83,32,heat_norm18,template_random_projection,0.03505716787102013,0.001404241058558542,0.0348834109969231,0.05826858309253015,0.0844848924396465,0.128997287855002,0,729,3189
hcp83,32,heat_norm18,template_random_robust,0.03324074152804499,0.0012634251300738608,0.033121566522123606,0.055980027078957266,0.07959280710996616,0.121746991771745,0,729,3189
hcp83,32,heat_norm18,template_selected_bounded_residual,0.03162818813435789,0.0011351172077169065,0.031521735716316425,0.052616134869441354,0.07281797044897181,0.1166234027483213,0,729,3189
hcp83,32,heat_norm18,template_selected_projection,0.03341323998865863,0.0012699306699442885,0.03324500032366295,0.05483522862262684,0.07767858874620691,0.1267538395123655,0,729,3189
hcp83,32,heat_norm18,template_selected_robust,0.03162818813435789,0.0011351172077169065,0.031521735716316425,0.052616134869441354,0.07281797044897181,0.1166234027483213,0,729,3189
hcp83,32,heat_raw18,atlas_random_aligned,0.022885802769129163,0.0005424109610778671,0.0228920278176676,0.030209378897410075,0.035340130639248145,0.0773607521070938,0,729,3189
hcp83,32,heat_raw18,atlas_random_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,32,heat_raw18,atlas_selected_aligned,0.02267235272913832,0.0005311865483633032,0.022676270188548266,0.0294750196772813,0.03440978084169666,0.0748080450073867,0,729,3189
hcp83,32,heat_raw18,atlas_selected_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,32,heat_raw18,floor_random_robust,0.12106728253986207,0.015032790755693838,0.1212053094287997,0.1508064110852292,0.16236523532536268,0.2769465922349363,0,729,3189
hcp83,32,heat_raw18,ordinary_selected,0.11744501910704337,0.014215005568905106,0.11752584934703549,0.1511872376503468,0.1681552792605962,0.2132274979226415,0,729,3189
hcp83,32,heat_raw18,random_bounded_residual,0.11905816636142957,0.014553218964742676,0.11920931377863402,0.1508218961441564,0.16459863810919156,0.2396666576664621,0,729,3189
hcp83,32,heat_raw18,random_ordinary,0.12239325843096165,0.01539324455479832,0.12253413867228209,0.15626072567244903,0.17194957041114853,0.2835030378878906,0,729,3189
hcp83,32,heat_raw18,random_projection,0.12184000329179724,0.0152344710238367,0.12197806385668375,0.15475134100253943,0.1700327596719139,0.2041955822175441,0,729,3189
hcp83,32,heat_raw18,random_robust,0.11905816636142957,0.014553218964742676,0.11920931377863402,0.1508218961441564,0.16459863810919156,0.2396666576664621,0,729,3189
hcp83,32,heat_raw18,selected_bounded_residual,0.11445884755182263,0.013497697883270468,0.11458292036379628,0.1465037776630859,0.162596623624875,0.1960495490942633,0,729,3189
hcp83,32,heat_raw18,selected_projection,0.11717822930566359,0.01413667280520445,0.1172711366867748,0.15050325692519784,0.1661235597814193,0.20075708260148,0,729,3189
hcp83,32,heat_raw18,selected_robust,0.11445884755182263,0.013497697883270468,0.11458292036379628,0.1465037776630859,0.162596623624875,0.1960495490942633,0,729,3189
hcp83,32,heat_raw18,selected_sources_ordinary,0.11744501910704337,0.014215005568905106,0.11752584934703549,0.1511872376503468,0.1681552792605962,0.2132274979226415,0,729,3189
hcp83,32,heat_raw18,spatial_robust,0.1178925491338137,0.014225426785571512,0.11803476137360831,0.14761552605336747,0.16217237699700474,0.2168558319685352,0,729,3189
hcp83,32,heat_raw18,template_random_bounded_residual,0.03252151960314937,0.0012027019871034728,0.032409086206864515,0.054339619512656555,0.076993094984942,0.1155545388426024,0,729,3189
hcp83,32,heat_raw18,template_random_projection,0.03434196310207267,0.0013402662404286122,0.03417446060648783,0.056541924255514346,0.08243782977180301,0.1227153985534888,0,729,3189
hcp83,32,heat_raw18,template_random_robust,0.03252151960314937,0.0012027019871034728,0.032409086206864515,0.054339619512656555,0.076993094984942,0.1155545388426024,0,729,3189
hcp83,32,heat_raw18,template_selected_bounded_residual,0.03132629910554202,0.0011056125306767447,0.031222507462878277,0.05158626947435974,0.07066858278041835,0.1120265032644832,0,729,3189
hcp83,32,heat_raw18,template_selected_projection,0.03306734235086188,0.0012358085054898005,0.0329025254302598,0.05375675889433078,0.07571560862511233,0.1249412252396719,0,729,3189
hcp83,32,heat_raw18,template_selected_robust,0.03132629910554202,0.0011056125306767447,0.031222507462878277,0.05158626947435974,0.07066858278041835,0.1120265032644832,0,729,3189
hcp83,32,qsf,atlas_random_aligned,0.022885802769129163,0.0005424109610778671,0.0228920278176676,0.030209378897410075,0.035340130639248145,0.0773607521070938,0,729,3189
hcp83,32,qsf,atlas_random_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,32,qsf,atlas_selected_aligned,0.02263375669318046,0.0005293360339619313,0.02263494048565819,0.029575482951299175,0.034107557375215036,0.0748080450073867,0,729,3189
hcp83,32,qsf,atlas_selected_mean,0.05889845037879193,0.004355431050372233,0.05875119086030096,0.10324576092205735,0.2021245301122094,0.2813853313317889,0,729,3189
hcp83,32,qsf,floor_random_robust,0.10898512056708869,0.012374631628583049,0.10912016428120606,0.14245281903744228,0.15494743096307273,0.2708841413434915,0,729,3189
hcp83,32,qsf,ordinary_selected,0.10314375637681479,0.011201990101888621,0.10318041366845769,0.14041282985174738,0.15353147206787798,0.1811341206455645,0,729,3189
hcp83,32,qsf,random_bounded_residual,0.10455338090039518,0.01143630196289357,0.10462907445874446,0.13941074604640838,0.1507286645604736,0.1864887172526512,0,729,3189
hcp83,32,qsf,random_ordinary,0.10784634735469116,0.012165154744331092,0.10794484988533157,0.14479801656448024,0.15886179956283353,0.3075259769503191,0,729,3189
hcp83,32,qsf,random_projection,0.10770552060445572,0.012123004379147304,0.10778796489614127,0.1445789273742102,0.1582440268789409,0.1909764590958715,0,729,3189
hcp83,32,qsf,random_robust,0.10455338090039518,0.01143630196289357,0.10462907445874446,0.13941074604640838,0.1507286645604736,0.1864887172526512,0,729,3189
hcp83,32,qsf,selected_bounded_residual,0.10007023702847079,0.010560335665018602,0.10009512478560889,0.13552688380412212,0.14761148023938986,0.1743228528862367,0,729,3189
hcp83,32,qsf,selected_projection,0.10324985208434875,0.011221707107204524,0.10330677090943248,0.14022000666658468,0.15438838155016738,0.1742203245911157,0,729,3189
hcp83,32,qsf,selected_robust,0.10007023702847079,0.010560335665018602,0.10009512478560889,0.13552688380412212,0.14761148023938986,0.1743228528862367,0,729,3189
hcp83,32,qsf,selected_sources_ordinary,0.10328049683847665,0.011230539116431619,0.10333528451356154,0.1404723239293779,0.15401175568159073,0.1754301911218967,0,729,3189
hcp83,32,qsf,spatial_robust,0.10251370262043627,0.011001721338019743,0.1025495321059291,0.13617878244830842,0.14883131286011503,0.1797956415092712,0,729,3189
hcp83,32,qsf,template_random_bounded_residual,0.02976130567044693,0.0009974830716593997,0.02965377432825242,0.04929245615256521,0.0691787112883435,0.1067924775550764,0,729,3189
hcp83,32,qsf,template_random_projection,0.03138695577760292,0.0011073434457331962,0.031231556304725936,0.05144263172367627,0.07146081787155895,0.1102794941293078,0,729,3189
hcp83,32,qsf,template_random_robust,0.02976130567044693,0.0009974830716593997,0.02965377432825242,0.04929245615256521,0.0691787112883435,0.1067924775550764,0,729,3189
hcp83,32,qsf,template_selected_bounded_residual,0.028510318844378137,0.0009074501381890035,0.028423067480817268,0.04600045446302672,0.0643413770562344,0.1018582804966282,0,729,3189
