cohort,source_count,encoder,track,split_id,mask_id,equal_participant_nrmse,equal_participant_nmse,row_mean_nrmse,p95,p99,maximum,rows_above_one,participants,records
hcp83,8,qsf,selected_projection,1,1,0.11070876148945266,0.012556393153346834,0.11070876148945266,0.1391669735695945,0.1773882750864152,0.1901354566144024,0,213,213
hcp83,8,qsf,selected_projection,1,2,0.1423456397577699,0.020402845602027958,0.1423456397577699,0.16236372560940682,0.1761452931202012,0.1953475686496769,0,213,213
hcp83,8,qsf,selected_projection,1,3,0.11886924735482568,0.01429724216602586,0.11886924735482568,0.1399886119712184,0.16079518872582368,0.202991248309562,0,213,213
hcp83,8,qsf,selected_projection,2,1,0.10926490458997025,0.012336506795019108,0.10926490458997025,0.1444250607639169,0.19054715516534168,0.2030500488012021,0,211,211
hcp83,8,qsf,selected_projection,2,2,0.14390274067519251,0.020904594946895012,0.14390274067519251,0.16905766960520696,0.19486265829772778,0.2116324624287351,0,211,211
hcp83,8,qsf,selected_projection,2,3,0.11896470591569948,0.014410231739198073,0.11896470591569948,0.1489715585678433,0.1818360420815393,0.202924088969639,0,211,211
hcp83,8,qsf,selected_projection,3,1,0.11073455400225614,0.01267078932301555,0.11073455400225614,0.1474188885246365,0.1885539491408763,0.2057005770921832,0,213,213
hcp83,8,qsf,selected_projection,3,2,0.1454381896639934,0.021371660168706962,0.1454381896639934,0.1744377712569325,0.19056156702413746,0.2076233968651988,0,213,213
hcp83,8,qsf,selected_projection,3,3,0.11963481391852054,0.014572871509865628,0.11963481391852054,0.15242664212504198,0.18303606877182796,0.1995092458503753,0,213,213
hcp83,8,qsf,selected_projection,4,1,0.1093915550265862,0.01227128050224748,0.1093915550265862,0.14207760889844084,0.17410204214466768,0.2048074838458652,0,213,213
hcp83,8,qsf,selected_projection,4,2,0.14482500635500095,0.021114442652715334,0.14482500635500095,0.1682077150428603,0.1808762779089117,0.1860626151585199,0,213,213
hcp83,8,qsf,selected_projection,4,3,0.11887766029634933,0.014309613222869591,0.11887766029634933,0.13853825987531007,0.16785085911301975,0.1823692038206011,0,213,213
hcp83,8,qsf,selected_projection,5,1,0.10946806580856211,0.012253006844711147,0.10946806580856211,0.13688648315751067,0.15240118387030266,0.1862441629144683,0,213,213
hcp83,8,qsf,selected_projection,5,2,0.14463791914725546,0.021098411422298728,0.14463791914725546,0.16525162196868765,0.1959550677319566,0.2060286310364875,0,213,213
hcp83,8,qsf,selected_projection,5,3,0.11828547592948242,0.014150218827653141,0.11828547592948242,0.1410485579612475,0.1568586818947747,0.196877056948453,0,213,213
hcp83,8,qsf,selected_robust,1,1,0.10915112187021267,0.012159171639132157,0.10915112187021267,0.13314324319943308,0.16286598989465045,0.1785662322104186,0,213,213
hcp83,8,qsf,selected_robust,1,2,0.1412328635967385,0.020069955087194013,0.1412328635967385,0.15991602327575702,0.16645071512197687,0.1968247854527993,0,213,213
hcp83,8,qsf,selected_robust,1,3,0.11719388012884617,0.013876632183676992,0.11719388012884617,0.13556187063782393,0.15725540205843222,0.1987091008458872,0,213,213
hcp83,8,qsf,selected_robust,2,1,0.1084676464543224,0.012086783405473093,0.1084676464543224,0.13744822362458992,0.17716482502783681,0.1976377051234157,0,211,211
hcp83,8,qsf,selected_robust,2,2,0.14230928645961724,0.020419995212949342,0.14230928645961724,0.16515971121209105,0.19040542084612577,0.1962398869746286,0,211,211
hcp83,8,qsf,selected_robust,2,3,0.11725480662346507,0.013968072023622536,0.11725480662346507,0.14325283535280464,0.17711889886136817,0.1898192333832178,0,211,211
hcp83,8,qsf,selected_robust,3,1,0.10897612125028489,0.012220519487451493,0.10897612125028489,0.1388203191583478,0.1764154517590316,0.1965817333336138,0,213,213
hcp83,8,qsf,selected_robust,3,2,0.14424760488373956,0.020991789120763212,0.14424760488373956,0.16799922280694127,0.1927336674423311,0.2070859936022621,0,213,213
hcp83,8,qsf,selected_robust,3,3,0.11796465156499955,0.014134727738273753,0.11796465156499955,0.14146453723483343,0.17824554989758787,0.1956152516472969,0,213,213
hcp83,8,qsf,selected_robust,4,1,0.10722003106409426,0.011770334103479536,0.10722003106409426,0.1344346384451959,0.15951327652865904,0.197786334203167,0,213,213
hcp83,8,qsf,selected_robust,4,2,0.14359924961727885,0.020751761633295344,0.14359924961727885,0.16553819044711127,0.17891080399395942,0.1861905343101164,0,213,213
hcp83,8,qsf,selected_robust,4,3,0.11732026544587146,0.013920677149155167,0.11732026544587146,0.13638303055438378,0.16598681391303882,0.173326272418148,0,213,213
hcp83,8,qsf,selected_robust,5,1,0.10771958634449376,0.01186126593162707,0.10771958634449376,0.13756515103434802,0.15040645230978625,0.1758596510602231,0,213,213
hcp83,8,qsf,selected_robust,5,2,0.14310246126727724,0.020654121028204016,0.14310246126727724,0.16358629564739857,0.19624530374325797,0.2039715303890139,0,213,213
hcp83,8,qsf,selected_robust,5,3,0.11652064234451852,0.013719448478058924,0.11652064234451852,0.135973054925182,0.1563906142129854,0.1930552470145226,0,213,213
hcp83,8,qsf,selected_sources_ordinary,1,1,0.11070876148945266,0.012556393153346834,0.11070876148945266,0.1391669735695945,0.1773882750864152,0.1901354566144024,0,213,213
hcp83,8,qsf,selected_sources_ordinary,1,2,0.1433047255617646,0.020680160311856186,0.1433047255617646,0.16278767126842114,0.1779926255476539,0.1992891839680346,0,213,213
hcp83,8,qsf,selected_sources_ordinary,1,3,0.11900367457102,0.01433403125147836,0.11900367457102,0.1399886119712184,0.16120235488583481,0.2044464409835458,0,213,213
hcp83,8,qsf,selected_sources_ordinary,2,1,0.10926490458997025,0.012336506795019108,0.10926490458997025,0.1444250607639169,0.19054715516534168,0.2030500488012021,0,211,211
hcp83,8,qsf,selected_sources_ordinary,2,2,0.14391567743563272,0.02090910353125406,0.14391567743563272,0.16905766960520696,0.19486265829772778,0.2116324624287351,0,211,211
hcp83,8,qsf,selected_sources_ordinary,2,3,0.11911431491608486,0.014452846679304002,0.11911431491608486,0.14944652076972847,0.18256494095803227,0.2035860543156796,0,211,211
hcp83,8,qsf,selected_sources_ordinary,3,1,0.11073455400225614,0.01267078932301555,0.11073455400225614,0.1474188885246365,0.1885539491408763,0.2057005770921832,0,213,213
hcp83,8,qsf,selected_sources_ordinary,3,2,0.1454454911688109,0.021373836964444375,0.1454454911688109,0.1744377712569325,0.19056156702413746,0.2076233968651988,0,213,213
hcp83,8,qsf,selected_sources_ordinary,3,3,0.11980121472182347,0.014618973874045777,0.11980121472182347,0.15254766881646206,0.18540142314190142,0.1999952322859002,0,213,213
hcp83,8,qsf,selected_sources_ordinary,4,1,0.1093915550265862,0.01227128050224748,0.1093915550265862,0.14207760889844084,0.17410204214466768,0.2048074838458652,0,213,213
hcp83,8,qsf,selected_sources_ordinary,4,2,0.14483832493073653,0.021119292991583667,0.14483832493073653,0.1682077150428603,0.1808762779089117,0.1860626151585199,0,213,213
hcp83,8,qsf,selected_sources_ordinary,4,3,0.11902292781813371,0.014349957191194494,0.11902292781813371,0.1389266555583161,0.1699722562644997,0.1830549463885544,0,213,213
hcp83,8,qsf,selected_sources_ordinary,5,1,0.10946806580856211,0.012253006844711147,0.10946806580856211,0.13688648315751067,0.15240118387030266,0.1862441629144683,0,213,213
hcp83,8,qsf,selected_sources_ordinary,5,2,0.14463796527878695,0.02109842426159995,0.14463796527878695,0.16525162196868765,0.1959550677319566,0.2060286310364875,0,213,213
hcp83,8,qsf,selected_sources_ordinary,5,3,0.11838776333131504,0.014176065134616765,0.11838776333131504,0.1410485579612475,0.1569366425050723,0.1973111455936783,0,213,213
hcp83,8,qsf,spatial_robust,1,1,0.11903358134618697,0.01445113540496933,0.11903358134618697,0.1499639135193474,0.16474491387810275,0.1892259432743623,0,213,213
hcp83,8,qsf,spatial_robust,1,2,0.14808426018454962,0.022075369610349792,0.14808426018454962,0.17075299471066588,0.1780269511126904,0.1823364301899427,0,213,213
hcp83,8,qsf,spatial_robust,1,3,0.12121630025094497,0.014881126165107804,0.12121630025094497,0.1450771547947944,0.16489208322216806,0.2020394199502175,0,213,213
hcp83,8,qsf,spatial_robust,2,1,0.1119037531040015,0.01274426493535047,0.1119037531040015,0.1399203168133813,0.15689658862706451,0.1736416437017873,0,211,211
hcp83,8,qsf,spatial_robust,2,2,0.1470254005202549,0.021770056866783877,0.1470254005202549,0.1688600963459823,0.18028389868501682,0.1949519858666136,0,211,211
hcp83,8,qsf,spatial_robust,2,3,0.12185677152374576,0.015082546537173088,0.12185677152374576,0.15038733776886956,0.16749494833818535,0.1939894349867252,0,211,211
hcp83,8,qsf,spatial_robust,3,1,0.1119680174617595,0.01286692648151715,0.1119680174617595,0.14200724951783106,0.1712277995631652,0.2034047519237317,0,213,213
hcp83,8,qsf,spatial_robust,3,2,0.14845163191327176,0.02220775360294268,0.14845163191327176,0.173435825439595,0.1841428009961568,0.1921414790074352,0,213,213
hcp83,8,qsf,spatial_robust,3,3,0.12256379301397112,0.015269914487364651,0.12256379301397112,0.15184959318910163,0.17593341932957018,0.1949001228978066,0,213,213
hcp83,8,qsf,spatial_robust,4,1,0.1115127042936245,0.012671270672555527,0.1115127042936245,0.1383260019473467,0.15359705516013342,0.1926367028653125,0,213,213
hcp83,8,qsf,spatial_robust,4,2,0.14730652692558016,0.02186537534995069,0.14730652692558016,0.16914909317346905,0.18495223935436564,0.2015645380928496,0,213,213
hcp83,8,qsf,spatial_robust,4,3,0.12141358603789427,0.01490746511013722,0.12141358603789427,0.14359624970357993,0.16134240082376297,0.1657788411819496,0,213,213
hcp83,8,qsf,spatial_robust,5,1,0.11257131405700346,0.012942891806344937,0.11257131405700346,0.14066225635651458,0.1581230323517271,0.2012124985391616,0,213,213
hcp83,8,qsf,spatial_robust,5,2,0.14879309075946137,0.02233737615228183,0.14879309075946137,0.17011458414610242,0.19589803943688283,0.2171464260471681,0,213,213
hcp83,8,qsf,spatial_robust,5,3,0.12143480152104427,0.014931289025168723,0.12143480152104427,0.1444625658996595,0.16342927300678212,0.1940917196898532,0,213,213
hcp83,8,qsf,template_random_bounded_residual,1,1,0.040693111331199655,0.0019214508293407318,0.040693111331199655,0.07162925135860457,0.08609025053034765,0.1426858753015523,0,213,213
hcp83,8,qsf,template_random_bounded_residual,1,2,0.037786087080264624,0.0016556158032221997,0.037786087080264624,0.06450467360303291,0.08438353171369785,0.1323075708655579,0,213,213
hcp83,8,qsf,template_random_bounded_residual,1,3,0.03613688092169676,0.0014952864124076252,0.03613688092169676,0.06147900553739392,0.07480984515813452,0.1181410382034213,0,213,213
hcp83,8,qsf,template_random_bounded_residual,2,1,0.03373617995898907,0.001283015617082353,0.03373617995898907,0.0550474332020745,0.07236339154947227,0.1218739072945466,0,211,211
hcp83,8,qsf,template_random_bounded_residual,2,2,0.041177799596499615,0.0019313674806565526,0.041177799596499615,0.07065016170889775,0.09629513497820172,0.1402541030110745,0,211,211
hcp83,8,qsf,template_random_bounded_residual,2,3,0.03225446138440943,0.0011517592487920165,0.03225446138440943,0.05159531948438215,0.06579062129692359,0.1071838773439364,0,211,211
hcp83,8,qsf,template_random_bounded_residual,3,1,0.03119976304935528,0.0011456551834749479,0.03119976304935528,0.05390207581708121,0.0738068103102998,0.1482144672942482,0,213,213
hcp83,8,qsf,template_random_bounded_residual,3,2,0.0389158626853114,0.0017817833609150636,0.0389158626853114,0.0759247223465704,0.09864928251650609,0.1285294807951288,0,213,213
hcp83,8,qsf,template_random_bounded_residual,3,3,0.035394355577317044,0.001436795432892129,0.035394355577317044,0.06469488237847507,0.08278988134680319,0.1057860560703354,0,213,213
hcp83,8,qsf,template_random_bounded_residual,4,1,0.03841194957822822,0.001709871574926461,0.03841194957822822,0.06515926566084812,0.08834973898708032,0.1263156576615316,0,213,213
hcp83,8,qsf,template_random_bounded_residual,4,2,0.039865772345671444,0.0018456622396895803,0.039865772345671444,0.06657684366856567,0.09398130759641417,0.1309816096309306,0,213,213
hcp83,8,qsf,template_random_bounded_residual,4,3,0.03484702813189598,0.0013417936038511795,0.03484702813189598,0.056263105037614974,0.07369828427784705,0.0969619049378865,0,213,213
hcp83,8,qsf,template_random_bounded_residual,5,1,0.03815862284902059,0.001709498967943719,0.03815862284902059,0.06458412315805276,0.09029885857939572,0.1645343028328683,0,213,213
hcp83,8,qsf,template_random_bounded_residual,5,2,0.038738210607368664,0.0017346607805150903,0.038738210607368664,0.06827985135513877,0.09085821126542905,0.1134769924137586,0,213,213
hcp83,8,qsf,template_random_bounded_residual,5,3,0.03675215074986936,0.0015335292010297797,0.03675215074986936,0.06345278047288432,0.08297197978356721,0.1054552336020634,0,213,213
hcp83,8,qsf,template_random_projection,1,1,0.042553502491637814,0.00208621346802367,0.042553502491637814,0.07298914546161553,0.08814416208207863,0.1442857127932665,0,213,213
hcp83,8,qsf,template_random_projection,1,2,0.040040827476805374,0.0018578261593982378,0.040040827476805374,0.06765200115504626,0.08408479980911907,0.1439310383895607,0,213,213
hcp83,8,qsf,template_random_projection,1,3,0.03811822407306863,0.001660550338904372,0.03811822407306863,0.06320798054719827,0.08250713405655857,0.1228245604816752,0,213,213
hcp83,8,qsf,template_random_projection,2,1,0.03570754196150203,0.0014674202372603345,0.03570754196150203,0.0571857235888099,0.09296593671577322,0.1335456649888671,0,211,211
hcp83,8,qsf,template_random_projection,2,2,0.043313003817050104,0.002132199703102176,0.043313003817050104,0.07236223429768526,0.10188507772843093,0.1337297155988511,0,211,211
hcp83,8,qsf,template_random_projection,2,3,0.034131807352964935,0.0013045400093621737,0.034131807352964935,0.05456781505577115,0.07563262041660046,0.1098620230712272,0,211,211
hcp83,8,qsf,template_random_projection,3,1,0.032517820374058454,0.001237604012371614,0.032517820374058454,0.057064777218487635,0.07207301011429687,0.1477048096334952,0,213,213
hcp83,8,qsf,template_random_projection,3,2,0.04100076958064616,0.0019658255814866917,0.04100076958064616,0.07957312367104398,0.09952341537053314,0.1329342522277883,0,213,213
hcp83,8,qsf,template_random_projection,3,3,0.03716001182461752,0.0015979479626078935,0.03716001182461752,0.06604356715155692,0.09237134273839302,0.1238715017755998,0,213,213
hcp83,8,qsf,template_random_projection,4,1,0.040109657869297446,0.0018384234015728523,0.040109657869297446,0.06766333573837267,0.08820640110193514,0.1251430056215782,0,213,213
hcp83,8,qsf,template_random_projection,4,2,0.04161413632596216,0.0019944411740296475,0.04161413632596216,0.0687016166735008,0.09413254880222446,0.1351353067803463,0,213,213
hcp83,8,qsf,template_random_projection,4,3,0.03638165129282549,0.0014558666833893313,0.03638165129282549,0.05755779403177743,0.07542381763073586,0.0959575034233068,0,213,213
hcp83,8,qsf,template_random_projection,5,1,0.039811781182446375,0.0018422005956937515,0.039811781182446375,0.0682669946902377,0.0898245704204704,0.1636239083607567,0,213,213
hcp83,8,qsf,template_random_projection,5,2,0.04023275166694077,0.00185594853943951,0.04023275166694077,0.07033197098217896,0.09111246438142624,0.1159436466046166,0,213,213
